Raw num:,Locality,Zip code,Kitchen,Type of property,Subtype of property,Price of property in euro,Type of Sale,Number of bedrooms,Living area,Terrace,Garden,Garden area,Surface of the land(or plot of land),Number of facades,Swimming pool,ID number,State of the building,URL
,Anderlecht,1070,1,apartment,apartment,159000,isUnderOption,2,73,1,,,,2,,10216907,to renovate,https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/10216907
,ENAME,9700,1,apartment,apartment,165000,,2,79,,,,,4,,10538665,good,https://www.immoweb.be/en/classified/apartment/for-sale/ename/9700/10538665
,Liège,4020,1,apartment,duplex,149000,isUnderOption,1,36,,,,,2,,10624170,as new,https://www.immoweb.be/en/classified/duplex/for-sale/li%C3%A8ge/4020/10624170
,Schaerbeek,1030,1,apartment,flat studio,169000,isUnderOption,0,41,1,,,,,,10463785,as new,https://www.immoweb.be/en/classified/flat-studio/for-sale/schaerbeek/1030/10463785
,Dendermonde,9200,1,apartment,apartment,169900,,2,86,,,,,2,,10607877,good,https://www.immoweb.be/en/classified/apartment/for-sale/dendermonde/9200/10607877
,Ganshoren,1083,1,apartment,apartment,169000,,1,57,1,,,,3,,10562914,good,https://www.immoweb.be/en/classified/apartment/for-sale/ganshoren/1083/10562914
,Schaerbeek,1030,1,apartment,flat studio,175000,,0,41,,,,,2,,10567502,good,https://www.immoweb.be/en/classified/flat-studio/for-sale/schaerbeek/1030/10567502
,Herstal,4040,,apartment,apartment,177500,isUnderOption,2,95,,,,,3,,10464779,good,https://www.immoweb.be/en/classified/apartment/for-sale/herstal/4040/10464779
,Bruxelles,1000,1,apartment,flat studio,185000,isUnderOption,0,36,,,,,2,,10585302,good,https://www.immoweb.be/en/classified/flat-studio/for-sale/bruxelles/1000/10585302
,Liège,4000,,apartment,apartment,180000,,2,72,1,,,,2,,10607098,good,https://www.immoweb.be/en/classified/apartment/for-sale/li%C3%A8ge/4000/10607098
,Molenbeek-Saint-Jean,1080,1,apartment,apartment,185000,isUnderOption,1,85,1,,,,2,,10601979,to be done up,https://www.immoweb.be/en/classified/apartment/for-sale/molenbeek-saint-jean/1080/10601979
,Berchem-Sainte-Agathe,1082,1,apartment,apartment,185000,isUnderOption,1,85,1,,,,2,,10600698,to be done up,https://www.immoweb.be/en/classified/apartment/for-sale/berchem-sainte-agathe/1082/10600698
,Nivelles,1400,1,apartment,apartment,185000,,2,90,1,,,,,,10597802,good,https://www.immoweb.be/en/classified/apartment/for-sale/nivelles/1400/10597802
,Jette,1090,1,apartment,apartment,185000,,1,77,1,,,,2,,10636702,good,https://www.immoweb.be/en/classified/apartment/for-sale/jette/1090/10636702
,Jurbise,7050,1,apartment,apartment,185000,,2,85,,,,,2,,10524524,good,https://www.immoweb.be/en/classified/apartment/for-sale/jurbise/7050/10524524
,De Haan,8420,1,house,house,449000,,3,257,1,1,45,153,3,,10494822,good,https://www.immoweb.be/en/classified/house/for-sale/de%20haan/8420/10494822
,Jurbise,7050,1,apartment,apartment,185000,,2,85,,,,,2,,10524522,good,https://www.immoweb.be/en/classified/apartment/for-sale/jurbise/7050/10524522
,Auderghem,1160,1,house,house,1195000,,4,200,1,1,600,725,3,,10662714,to renovate,https://www.immoweb.be/en/classified/house/for-sale/auderghem/1160/10662714
,Geraardsbergen Moerbeke,9500,1,house,villa,329000,,3,184,1,,,362,3,,10654091,as new,https://www.immoweb.be/en/classified/villa/for-sale/geraardsbergen%20moerbeke/9500/10654091
,Geraardsbergen Moerbeke,9500,1,house,villa,329000,,3,177,1,,,406,3,,10654090,as new,https://www.immoweb.be/en/classified/villa/for-sale/geraardsbergen%20moerbeke/9500/10654090
,Amay,4540,1,house,house,295000,isUnderOption,4,160,,,,923,4,,10640116,to be done up,https://www.immoweb.be/en/classified/house/for-sale/amay/4540/10640116
,HERMEE,4680,1,house,house,449000,,4,291,1,,,800,4,,10380485,as new,https://www.immoweb.be/en/classified/house/for-sale/hermee/4680/10380485
,Pentagone (Bruxelles),1000,,house,apartment block,1290000,,5,526,1,,,105,3,,10666016,,https://www.immoweb.be/en/classified/apartment-block/for-sale/pentagone%20%28bruxelles%29/1000/10666016
,Mechelen,2812,1,house,mansion,1245000,,5,334,1,,,1265,4,,10599206,as new,https://www.immoweb.be/en/classified/mansion/for-sale/mechelen/2812/10599206
,PUURS-SINT-AMANDS,2870,1,house,villa,649000,,3,228,1,,,1064,4,,10640294,good,https://www.immoweb.be/en/classified/villa/for-sale/puurs-sint-amands/2870/10640294
,PIÉTRAIN,1370,,house,house,179000,,3,150,,,,630,3,,10645545,to restore,https://www.immoweb.be/en/classified/house/for-sale/pi%C3%89train/1370/10645545
,SINT-NIKLAAS,9100,,house,house,219000,,4,155,,,,115,2,,10647976,to be done up,https://www.immoweb.be/en/classified/house/for-sale/sint-niklaas/9100/10647976
,Geraardsbergen Moerbeke,9500,1,house,villa,329000,,3,184,1,,,353,3,,10654087,as new,https://www.immoweb.be/en/classified/villa/for-sale/geraardsbergen%20moerbeke/9500/10654087
,FLÉNU,7012,1,house,house,220000,,2,173,,,,3095,4,,10647462,to be done up,https://www.immoweb.be/en/classified/house/for-sale/fl%C3%89nu/7012/10647462
,Nivelles,1400,1,house,house,249000,,4,160,,1,300,580,3,,10645807,as new,https://www.immoweb.be/en/classified/house/for-sale/nivelles/1400/10645807
,Pont-à-Celles,6230,1,house,house,249000,,4,160,,1,300,580,3,,10645806,as new,https://www.immoweb.be/en/classified/house/for-sale/pont-%C3%A0-celles/6230/10645806
,PUURS,2870,1,house,house,225000,,3,132,1,,,72,2,,10646625,to be done up,https://www.immoweb.be/en/classified/house/for-sale/puurs/2870/10646625
,Erpe-Mere,9420,,house,bungalow,298000,,2,200,1,,,824,4,,10645673,to renovate,https://www.immoweb.be/en/classified/bungalow/for-sale/erpe-mere/9420/10645673
,Kortrijk,8500,1,house,house,315000,,2,124,1,1,200,504,4,,10646001,to be done up,https://www.immoweb.be/en/classified/house/for-sale/kortrijk/8500/10646001
,Beersel,1650,1,house,house,415000,,3,157,,,,714,4,,10646940,good,https://www.immoweb.be/en/classified/house/for-sale/beersel/1650/10646940
,Zedelgem,8210,1,house,house,349000,,3,143,,,,435,4,,10647487,good,https://www.immoweb.be/en/classified/house/for-sale/zedelgem/8210/10647487
,Hemiksem,2620,1,house,house,329000,,2,150,1,,,363,2,,10646751,good,https://www.immoweb.be/en/classified/house/for-sale/hemiksem/2620/10646751
,Dison,4820,0,house,apartment block,499000,,16,567,,,,2739,3,,10646103,,https://www.immoweb.be/en/classified/apartment-block/for-sale/dison/4820/10646103
,Mechelen,2800,1,house,house,427000,,3,173,1,1,105,307,3,,10645823,to be done up,https://www.immoweb.be/en/classified/house/for-sale/mechelen/2800/10645823
,Saint-Léger Meixle-Tige,6747,0,house,house,220000,,3,150,1,1,1200,1400,4,,10585540,to renovate,https://www.immoweb.be/en/classified/house/for-sale/saint-l%C3%A9ger%20meixle-tige/6747/10585540
,Lasne,1380,1,house,house,295000,,4,202,1,1,105,330,3,,10656625,to renovate,https://www.immoweb.be/en/classified/house/for-sale/lasne/1380/10656625
,Brakel,9660,1,house,house,385000,,3,144,1,,,196,3,,10666619,,https://www.immoweb.be/en/classified/house/for-sale/brakel/9660/10666619
,Vilvoorde,1800,1,house,house,449000,,4,150,1,1,150,356,3,,10590798,good,https://www.immoweb.be/en/classified/house/for-sale/vilvoorde/1800/10590798
,Brasschaat,2930,1,house,house,699000,,3,213,1,,,1350,4,,10646784,just renovated,https://www.immoweb.be/en/classified/house/for-sale/brasschaat/2930/10646784
,Menen,8930,1,apartment,duplex,189000,,2,108,1,,,,2,,10341800,good,https://www.immoweb.be/en/classified/duplex/for-sale/menen/8930/10341800
,Saint-Gilles,1060,1,apartment,flat studio,195000,,0,40,,,,,2,,10605945,as new,https://www.immoweb.be/en/classified/flat-studio/for-sale/saint-gilles/1060/10605945
,Ixelles,1050,1,apartment,flat studio,190000,,0,44,,,,,2,,10572149,good,https://www.immoweb.be/en/classified/flat-studio/for-sale/ixelles/1050/10572149
,Schaerbeek,1030,0,apartment,apartment,195000,isUnderOption,2,66,,,,,3,,10489881,to be done up,https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/10489881
,Molenbeek-Saint-Jean,1080,1,apartment,apartment,190000,isUnderOption,2,78,1,,,,2,,10584152,to renovate,https://www.immoweb.be/en/classified/apartment/for-sale/molenbeek-saint-jean/1080/10584152
,Liège,4020,1,apartment,duplex,189000,isUnderOption,2,72,,,,,2,,10614711,just renovated,https://www.immoweb.be/en/classified/duplex/for-sale/li%C3%A8ge/4020/10614711
,Schaerbeek,1030,0,apartment,apartment,195000,,2,66,,,,,3,,10489882,to be done up,https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/10489882
,Anderlecht,1070,1,apartment,apartment,199990,isUnderOption,2,74,1,,,,2,,10372740,as new,https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/10372740
,Nivelles,1400,1,apartment,apartment,197000,,2,89,1,,,,2,,10425829,good,https://www.immoweb.be/en/classified/apartment/for-sale/nivelles/1400/10425829
,Beersel,1650,1,house,house,439000,,4,205,1,,,775,2,,10646939,just renovated,https://www.immoweb.be/en/classified/house/for-sale/beersel/1650/10646939
,Anderlecht,1070,1,apartment,apartment,199000,,2,86,,,,,2,,10465613,to be done up,https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/10465613
,Antwerp,2100,1,apartment,apartment,195000,isUnderOption,2,93,1,,,,,,10515670,good,https://www.immoweb.be/en/classified/apartment/for-sale/antwerp/2100/10515670
,Uccle,1180,1,apartment,flat studio,200000,isUnderOption,0,34,,,,,2,,10497469,good,https://www.immoweb.be/en/classified/flat-studio/for-sale/uccle/1180/10497469
,Molenbeek-Saint-Jean,1080,1,apartment,apartment,195000,isUnderOption,2,122,1,,,,2,,10267311,to be done up,https://www.immoweb.be/en/classified/apartment/for-sale/molenbeek-saint-jean/1080/10267311
,Anderlecht,1070,1,apartment,apartment,199990,isUnderOption,2,74,1,,,,2,,10447388,as new,https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/10447388
,Jette,1090,0,apartment,apartment,205000,isUnderOption,2,100,,,,,2,,10412463,to renovate,https://www.immoweb.be/en/classified/apartment/for-sale/jette/1090/10412463
,Anderlecht,1070,1,apartment,apartment,199000,isUnderOption,2,92,1,,,,,,9828291,good,https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/9828291
,Zelzate,9060,1,apartment,duplex,199000,,2,82,1,,,,2,,10629825,good,https://www.immoweb.be/en/classified/duplex/for-sale/zelzate/9060/10629825
,Fize-Fontaine,4530,,house,villa,298000,,0,165,,,,1205,4,,10655962,good,https://www.immoweb.be/en/classified/villa/for-sale/fize-fontaine/4530/10655962
,SINT-KATELIJNE-WAVER,2860,,apartment,apartment,209000,,1,64,1,,,,2,,10535950,good,https://www.immoweb.be/en/classified/apartment/for-sale/sint-katelijne-waver/2860/10535950
,Molenbeek-Saint-Jean,1080,1,apartment,apartment,209000,isUnderOption,2,81,1,,,,2,,9535092,as new,https://www.immoweb.be/en/classified/apartment/for-sale/molenbeek-saint-jean/1080/9535092
,Sint-Stevens-Woluwe,1932,1,house,house,579000,,5,340,1,1,150,306,,,10656041,as new,https://www.immoweb.be/en/classified/house/for-sale/sint-stevens-woluwe/1932/10656041
,Meise,1860,1,house,house,479000,,4,222,1,,,306,3,,10656180,as new,https://www.immoweb.be/en/classified/house/for-sale/meise/1860/10656180
,SAINT-GEORGES-SUR-MEUSE,4470,1,house,house,175000,,2,140,,,,337,2,,10658583,good,https://www.immoweb.be/en/classified/house/for-sale/saint-georges-sur-meuse/4470/10658583
,Ronse,9600,1,house,mixed use building,299000,,3,175,,,,232,,,10659146,as new,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/ronse/9600/10659146
,Avelgem,8580,1,house,house,185000,,1,95,,,,0,3,,10659509,good,https://www.immoweb.be/en/classified/house/for-sale/avelgem/8580/10659509
,Ronse,9600,1,house,house,299000,,3,175,,,,232,,,10659144,as new,https://www.immoweb.be/en/classified/house/for-sale/ronse/9600/10659144
,Bruxelles,1000,1,apartment,apartment,215000,isUnderOption,2,82,,,,,2,,10492584,to be done up,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/10492584
,Koekelberg,1081,0,apartment,apartment,210000,isUnderOption,2,97,1,,,,2,,9624151,to renovate,https://www.immoweb.be/en/classified/apartment/for-sale/koekelberg/1081/9624151
,Bruxelles,1020,1,apartment,apartment,210000,isUnderOption,1,70,1,,,,2,,10590367,good,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1020/10590367
,Bruxelles,1000,1,apartment,apartment,215000,isUnderOption,2,84,1,,,,2,,10373041,good,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/10373041
,Anderlecht,1070,1,apartment,apartment,199990,isUnderOption,3,99,1,,,,3,,10142647,to be done up,https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/10142647
,Bavegem,9520,,house,house,349000,,3,185,1,,,605,4,,10658731,good,https://www.immoweb.be/en/classified/house/for-sale/bavegem/9520/10658731
,Wilrijk,2610,1,house,house,399000,,3,110,1,1,33,115,,,10621487,good,https://www.immoweb.be/en/classified/house/for-sale/wilrijk/2610/10621487
,Saint-Gilles,1060,1,house,apartment block,650000,,8,200,,,,78,2,,10658119,good,https://www.immoweb.be/en/classified/apartment-block/for-sale/saint-gilles/1060/10658119
,REDU,6890,1,house,house,329900,,3,112,,,,1096,4,,10665156,good,https://www.immoweb.be/en/classified/house/for-sale/redu/6890/10665156
,SINT-GILLIS-WAAS,9170,1,house,house,120000,,1,85,1,,,90,2,,10664768,to renovate,https://www.immoweb.be/en/classified/house/for-sale/sint-gillis-waas/9170/10664768
,HOUTHALEN,3530,1,house,house,765000,,8,685,,,,2300,4,,10659274,to renovate,https://www.immoweb.be/en/classified/house/for-sale/houthalen/3530/10659274
,Schaerbeek,1030,1,apartment,apartment,210000,,1,50,,,,,2,,10579542,just renovated,https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/10579542
,COMBLAIN-FAIRON,4180,1,house,house,25000,isLifeAnnuitySale,3,140,,,,917,4,,10394122,good,https://www.immoweb.be/en/classified/house/for-sale/comblain-fairon/4180/10394122
,Anderlecht,1070,1,apartment,duplex,219000,isUnderOption,2,80,1,,,,2,,9632519,as new,https://www.immoweb.be/en/classified/duplex/for-sale/anderlecht/1070/9632519
,Somme-Leuze,5377,0,house,chalet,75000,isUnderOption,2,44,1,1,234,287,4,,10622605,good,https://www.immoweb.be/en/classified/chalet/for-sale/somme-leuze/5377/10622605
,Dilbeek Groot-Bijgaarden,1702,1,apartment,apartment,220000,isUnderOption,2,92,1,,,,2,,10329031,to be done up,https://www.immoweb.be/en/classified/apartment/for-sale/dilbeek%20groot-bijgaarden/1702/10329031
,Courcelles,6180,1,house,house,79000,isUnderOption,2,108,,1,600,785,2,,10386833,good,https://www.immoweb.be/en/classified/house/for-sale/courcelles/6180/10386833
,Mouscron,7700,1,house,house,209000,,3,112,1,1,58,119,2,,10658450,just renovated,https://www.immoweb.be/en/classified/house/for-sale/mouscron/7700/10658450
,Oudenaarde,9700,1,house,house,399950,,4,259,1,1,60,166,2,,10663871,as new,https://www.immoweb.be/en/classified/house/for-sale/oudenaarde/9700/10663871
,Leuven,3000,1,apartment,flat studio,218000,isUnderOption,1,36,,,,,4,,10425031,as new,https://www.immoweb.be/en/classified/flat-studio/for-sale/leuven/3000/10425031
,Middelkerke,8430,1,apartment,apartment,215000,,1,42,1,,,,2,,10314479,good,https://www.immoweb.be/en/classified/apartment/for-sale/middelkerke/8430/10314479
,Saint-Nicolas,4420,0,house,house,129000,isUnderOption,2,68,1,1,70,148,2,,10602389,good,https://www.immoweb.be/en/classified/house/for-sale/saint-nicolas/4420/10602389
,Seraing,4100,1,house,house,119000,isUnderOption,1,63,,1,110,254,2,,10426813,good,https://www.immoweb.be/en/classified/house/for-sale/seraing/4100/10426813
,Amay,4540,1,house,house,135000,isUnderOption,1,70,1,,,540,2,,10522675,good,https://www.immoweb.be/en/classified/house/for-sale/amay/4540/10522675
,Ninove,9400,1,apartment,apartment,215000,,1,74,,,,,,,10622756,good,https://www.immoweb.be/en/classified/apartment/for-sale/ninove/9400/10622756
,La Louviere,7100,1,house,house,135000,isUnderOption,3,170,1,,,258,2,,10235825,to be done up,https://www.immoweb.be/en/classified/house/for-sale/la%20louviere/7100/10235825
,Souvret,6180,1,house,house,139000,isUnderOption,3,120,1,1,460,710,2,,10487438,good,https://www.immoweb.be/en/classified/house/for-sale/souvret/6180/10487438
,Charleroi,6042,1,house,house,135000,isUnderOption,3,103,1,,,80,2,,10578398,good,https://www.immoweb.be/en/classified/house/for-sale/charleroi/6042/10578398
,Sint-Lievens-Houtem,9520,1,house,house,149000,isUnderOption,2,95,1,,,480,4,,10625201,to renovate,https://www.immoweb.be/en/classified/house/for-sale/sint-lievens-houtem/9520/10625201
,Visé,4600,1,house,house,139000,isUnderOption,2,106,1,1,70,284,2,,10576320,to be done up,https://www.immoweb.be/en/classified/house/for-sale/vis%C3%A9/4600/10576320
,WANDRE,4020,1,house,house,159000,isUnderOption,2,90,1,,,92,2,,10219752,good,https://www.immoweb.be/en/classified/house/for-sale/wandre/4020/10219752
,Ronse,9600,1,house,house,139500,,3,100,1,1,600,760,2,,10593564,to renovate,https://www.immoweb.be/en/classified/house/for-sale/ronse/9600/10593564
,Herstal,4040,1,house,house,155000,isUnderOption,3,100,1,1,40,115,2,,10385639,to be done up,https://www.immoweb.be/en/classified/house/for-sale/herstal/4040/10385639
,Chaudfontaine,4051,1,house,house,159000,,3,95,,,,40,2,,10489126,good,https://www.immoweb.be/en/classified/house/for-sale/chaudfontaine/4051/10489126
,Gent,9000,1,apartment,flat studio,225000,,1,38,1,,,,4,,10625365,to be done up,https://www.immoweb.be/en/classified/flat-studio/for-sale/gent/9000/10625365
,Strombeek-Bever,1853,1,apartment,apartment,225000,isUnderOption,2,75,,,,,,,10590438,as new,https://www.immoweb.be/en/classified/apartment/for-sale/strombeek-bever/1853/10590438
,Sint-Jans-Molenbeek,1080,1,apartment,apartment,229000,,2,74,,,,,,,10636412,as new,https://www.immoweb.be/en/classified/apartment/for-sale/sint-jans-molenbeek/1080/10636412
,Lede,9340,1,apartment,apartment,227000,,2,88,1,,,,2,,10603125,good,https://www.immoweb.be/en/classified/apartment/for-sale/lede/9340/10603125
,Brasschaat,2930,1,apartment,apartment,229000,,2,80,1,,,,2,,10634632,good,https://www.immoweb.be/en/classified/apartment/for-sale/brasschaat/2930/10634632
,Laeken,1020,0,apartment,apartment,235000,isUnderOption,2,90,1,,,,2,,10585245,good,https://www.immoweb.be/en/classified/apartment/for-sale/laeken/1020/10585245
,Antwerp,2050,1,apartment,apartment,230000,isUnderOption,2,94,1,,,,2,,10578472,as new,https://www.immoweb.be/en/classified/apartment/for-sale/antwerp/2050/10578472
,Molenbeek-Saint-Jean,1080,1,apartment,apartment,239000,isUnderOption,2,110,1,,,,2,,10224613,good,https://www.immoweb.be/en/classified/apartment/for-sale/molenbeek-saint-jean/1080/10224613
,Ganshoren,1083,1,apartment,apartment,229990,isUnderOption,2,81,1,1,300,,2,,10183359,just renovated,https://www.immoweb.be/en/classified/apartment/for-sale/ganshoren/1083/10183359
,Nivelles,1400,1,apartment,apartment,239000,,2,99,1,,,,2,,10492367,good,https://www.immoweb.be/en/classified/apartment/for-sale/nivelles/1400/10492367
,Schoten,2900,1,apartment,apartment,235000,,2,95,1,,,,2,,10571907,to be done up,https://www.immoweb.be/en/classified/apartment/for-sale/schoten/2900/10571907
,Brugge,8000,1,apartment,apartment,233500,,3,108,1,,,,3,,10414229,good,https://www.immoweb.be/en/classified/apartment/for-sale/brugge/8000/10414229
,Ganshoren,1083,1,apartment,apartment,229990,isUnderOption,2,81,1,1,300,,2,,10163550,just renovated,https://www.immoweb.be/en/classified/apartment/for-sale/ganshoren/1083/10163550
,Anderlecht,1070,0,apartment,apartment,227500,,1,85,,,,,,,10601164,to be done up,https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/10601164
,Woluwe-Saint-Lambert,1200,1,apartment,apartment,235000,isUnderOption,1,63,1,,,,4,,10400892,good,https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/10400892
,Middelkerke,8430,1,apartment,apartment,239000,,2,70,1,,,,,,10540434,good,https://www.immoweb.be/en/classified/apartment/for-sale/middelkerke/8430/10540434
,Braine-l'Alleud,1420,1,apartment,apartment,239000,,3,115,1,,,,2,,10562910,to renovate,https://www.immoweb.be/en/classified/apartment/for-sale/braine-l%27alleud/1420/10562910
,Schaerbeek,1030,1,apartment,apartment,240000,isUnderOption,1,62,,,,,2,,10340845,as new,https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/10340845
,Brasschaat,2930,1,apartment,apartment,239000,,3,98,1,,,,2,,10551295,good,https://www.immoweb.be/en/classified/apartment/for-sale/brasschaat/2930/10551295
,Molenbeek-Saint-Jean,1080,1,apartment,apartment,229999,isUnderOption,2,101,1,,,,2,,9670870,as new,https://www.immoweb.be/en/classified/apartment/for-sale/molenbeek-saint-jean/1080/9670870
,Etterbeek,1040,,apartment,apartment,240000,isUnderOption,1,89,,,,,2,,10611170,to be done up,https://www.immoweb.be/en/classified/apartment/for-sale/etterbeek/1040/10611170
,Zaventem,1932,1,apartment,duplex,240000,isUnderOption,3,83,1,,,,2,1,10340847,as new,https://www.immoweb.be/en/classified/duplex/for-sale/zaventem/1932/10340847
,Villers-le-Bouillet,4530,1,house,country cottage,159000,,2,75,,1,18,114,3,,10637698,good,https://www.immoweb.be/en/classified/country-cottage/for-sale/villers-le-bouillet/4530/10637698
,Roux,6044,1,house,house,170000,isUnderOption,3,145,1,1,70,220,2,,10215496,as new,https://www.immoweb.be/en/classified/house/for-sale/roux/6044/10215496
,Herstal,4040,1,house,house,169000,isUnderOption,4,121,1,1,170,228,3,,10446378,to be done up,https://www.immoweb.be/en/classified/house/for-sale/herstal/4040/10446378
,Châtelet,6200,1,house,house,174900,isUnderOption,3,110,1,1,82,180,2,,10378011,good,https://www.immoweb.be/en/classified/house/for-sale/ch%C3%A2telet/6200/10378011
,Ronse,9600,1,house,house,175000,,4,194,1,1,100,200,2,,10579072,to be done up,https://www.immoweb.be/en/classified/house/for-sale/ronse/9600/10579072
,Deurne,2100,1,house,mixed use building,174000,,2,76,,,,76,2,,10623427,good,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/deurne/2100/10623427
,Huy,4500,1,house,house,159500,,3,100,,,,265,3,,10568223,good,https://www.immoweb.be/en/classified/house/for-sale/huy/4500/10568223
,Jette,1090,1,apartment,apartment,245000,isUnderOption,3,117,1,,,,2,,10557321,to be done up,https://www.immoweb.be/en/classified/apartment/for-sale/jette/1090/10557321
,Jette,1090,1,apartment,apartment,245000,isUnderOption,2,86,1,,,,,,9865862,to be done up,https://www.immoweb.be/en/classified/apartment/for-sale/jette/1090/9865862
,Uccle,1180,1,apartment,apartment,248000,isUnderOption,2,72,,,,,2,,10259235,good,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/10259235
,Koekelberg,1081,,apartment,apartment,240000,isUnderOption,2,110,1,,,,2,,10441079,good,https://www.immoweb.be/en/classified/apartment/for-sale/koekelberg/1081/10441079
,Pont-a-Celles,6230,1,house,house,160000,isUnderOption,2,130,1,1,110,250,2,,10512618,good,https://www.immoweb.be/en/classified/house/for-sale/pont-a-celles/6230/10512618
,Schaerbeek,1030,1,apartment,apartment,249000,,1,93,1,,,,2,,10547688,good,https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/10547688
,Schaerbeek,1030,1,apartment,apartment,249000,,2,76,1,,,,2,,10617644,to be done up,https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/10617644
,Anderlecht,1070,1,apartment,apartment,249000,isUnderOption,3,105,1,,,,2,,10564858,good,https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/10564858
,Burdinne,4210,1,house,country cottage,179000,isUnderOption,2,147,,1,3750,4000,4,,10443326,good,https://www.immoweb.be/en/classified/country-cottage/for-sale/burdinne/4210/10443326
,Schaerbeek,1030,1,apartment,apartment,245000,isUnderOption,1,65,,,,,,,10440562,good,https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/10440562
,Liège Angleur,4031,0,house,house,189000,isUnderOption,2,150,1,,,100,2,,10531212,to be done up,https://www.immoweb.be/en/classified/house/for-sale/li%C3%A8ge%20angleur/4031/10531212
,Pont-a-Celles,6230,1,house,house,180000,,3,100,1,1,70,154,2,,10622580,good,https://www.immoweb.be/en/classified/house/for-sale/pont-a-celles/6230/10622580
,Cheratte,4602,1,house,house,189000,,3,104,1,,,326,2,,10579709,good,https://www.immoweb.be/en/classified/house/for-sale/cheratte/4602/10579709
,Huy,4500,1,house,apartment block,195000,,2,165,1,,,115,2,,10623228,good,https://www.immoweb.be/en/classified/apartment-block/for-sale/huy/4500/10623228
,OTHÉE,4340,1,house,house,190000,isUnderOption,3,250,1,,,271,3,,10429173,to be done up,https://www.immoweb.be/en/classified/house/for-sale/oth%C3%89e/4340/10429173
,Froidchapelle,6440,1,house,house,190000,isUnderOption,3,120,1,,,980,4,,10629883,to be done up,https://www.immoweb.be/en/classified/house/for-sale/froidchapelle/6440/10629883
,Mechelen,2800,1,house,house,189000,isUnderOption,2,69,1,,,50,2,,10636595,to be done up,https://www.immoweb.be/en/classified/house/for-sale/mechelen/2800/10636595
,Paliseul,6850,1,house,house,209000,isUnderOption,4,125,1,1,120,206,2,,10605116,good,https://www.immoweb.be/en/classified/house/for-sale/paliseul/6850/10605116
,Libin,6890,0,house,farmhouse,179000,isUnderOption,3,150,1,1,302,633,3,,10594942,to renovate,https://www.immoweb.be/en/classified/farmhouse/for-sale/libin/6890/10594942
,Leuze-En-Hainaut,7900,1,house,house,189000,isUnderOption,2,112,1,1,122,220,4,,10627791,good,https://www.immoweb.be/en/classified/house/for-sale/leuze-en-hainaut/7900/10627791
,Huy,4500,1,house,house,195000,,2,165,1,,,115,2,,10623227,good,https://www.immoweb.be/en/classified/house/for-sale/huy/4500/10623227
,Vance,6741,1,house,house,210000,,3,387,,,,427,3,,10172358,to renovate,https://www.immoweb.be/en/classified/house/for-sale/vance/6741/10172358
,Athus,6791,1,house,house,220000,,2,92,,,,160,2,,10539039,to renovate,https://www.immoweb.be/en/classified/house/for-sale/athus/6791/10539039
,Waremme,4300,,house,house,215000,,3,150,1,,,110,2,,10633465,to renovate,https://www.immoweb.be/en/classified/house/for-sale/waremme/4300/10633465
,Wanze,4520,1,house,house,229000,isUnderOption,4,150,1,1,110,400,4,,10481740,good,https://www.immoweb.be/en/classified/house/for-sale/wanze/4520/10481740
,Ougrée,4102,1,house,apartment block,229000,isUnderOption,4,205,1,,,252,4,,10197203,to be done up,https://www.immoweb.be/en/classified/apartment-block/for-sale/ougr%C3%A9e/4102/10197203
,Amay,4540,1,house,house,229000,isUnderOption,4,215,,1,530,709,3,,10524757,good,https://www.immoweb.be/en/classified/house/for-sale/amay/4540/10524757
,Huy,4500,1,house,house,209000,isUnderOption,3,173,1,1,50,140,2,,10473355,just renovated,https://www.immoweb.be/en/classified/house/for-sale/huy/4500/10473355
,Halanzy,6792,1,house,house,235000,isUnderOption,3,135,,,,580,4,,10577592,to renovate,https://www.immoweb.be/en/classified/house/for-sale/halanzy/6792/10577592
,Neufchateau,6840,0,house,mansion,210000,,6,282,1,,,170,3,,10572719,to renovate,https://www.immoweb.be/en/classified/mansion/for-sale/neufchateau/6840/10572719
