Raw num:,Locality,Zip code,Kitchen,Type of property,Subtype of property,Price of property in euro,Type of Sale,Number of bedrooms,Living area,Terrace,Garden,Garden area,Surface of the land(or plot of land),Number of facades,Swimming pool,ID number,State of the building,URL
,Mouscron,7700,0,house,house,389000,,4,160,,,,603,4,,10662767,just renovated,https://www.immoweb.be/en/classified/house/for-sale/mouscron/7700/10662767
,Tienen,3300,1,house,house,275000,,3,200,1,,,734,3,,10661485,good,https://www.immoweb.be/en/classified/house/for-sale/tienen/3300/10661485
,Outgaarden,3321,1,house,house,195000,,3,120,1,,,584,4,,10668582,to be done up,https://www.immoweb.be/en/classified/house/for-sale/outgaarden/3321/10668582
,Dworp,1653,0,house,villa,720000,,5,300,1,1,1400,1560,3,,10476728,to renovate,https://www.immoweb.be/en/classified/villa/for-sale/dworp/1653/10476728
,Uccle,1180,1,house,exceptional property,1195000,isUnderOption,4,211,1,,,1563,4,,10660054,as new,https://www.immoweb.be/en/classified/exceptional-property/for-sale/uccle/1180/10660054
,Fosses-la-Ville,5070,,house,house,259000,,3,122,,1,810,880,4,,10666291,,https://www.immoweb.be/en/classified/house/for-sale/fosses-la-ville/5070/10666291
,Tienen,3300,1,house,house,315000,,3,140,,,,127,,,10666960,as new,https://www.immoweb.be/en/classified/house/for-sale/tienen/3300/10666960
,Lembeek,1502,1,house,house,299000,,3,190,,,,0,2,,10667494,to be done up,https://www.immoweb.be/en/classified/house/for-sale/lembeek/1502/10667494
,Wommelgem,2160,0,house,house,395000,,3,180,1,1,640,640,3,,10666740,to renovate,https://www.immoweb.be/en/classified/house/for-sale/wommelgem/2160/10666740
,Mol,2400,1,house,house,325000,,4,201,1,,,572,,,10667023,good,https://www.immoweb.be/en/classified/house/for-sale/mol/2400/10667023
,Avelgem,8582,1,house,villa,325000,,3,173,1,,,1209,,,10667576,to be done up,https://www.immoweb.be/en/classified/villa/for-sale/avelgem/8582/10667576
,Lembeek,1502,1,house,house,299000,,3,190,,,,0,2,,10667493,to be done up,https://www.immoweb.be/en/classified/house/for-sale/lembeek/1502/10667493
,Ronse,9600,1,house,house,429000,,5,400,,,,340,2,,10640409,good,https://www.immoweb.be/en/classified/house/for-sale/ronse/9600/10640409
,Hoboken,2660,,house,house,595000,,4,190,1,,,333,3,,10666355,as new,https://www.immoweb.be/en/classified/house/for-sale/hoboken/2660/10666355
,Warsage,4608,1,house,house,349000,,4,148,1,1,667,799,4,1,10639009,good,https://www.immoweb.be/en/classified/house/for-sale/warsage/4608/10639009
,Hoboken,2660,,house,house,319000,,4,244,,1,45,165,2,,10639913,good,https://www.immoweb.be/en/classified/house/for-sale/hoboken/2660/10639913
,Ixelles,1050,1,house,mansion,4790000,,8,1000,1,,,655,,1,10667587,as new,https://www.immoweb.be/en/classified/mansion/for-sale/ixelles/1050/10667587
,Gistel,8470,1,house,villa,1245000,,3,642,1,,,5924,,,10666986,good,https://www.immoweb.be/en/classified/villa/for-sale/gistel/8470/10666986
,Kapellen,2950,1,house,villa,735000,,3,250,,,,1545,4,,10638885,as new,https://www.immoweb.be/en/classified/villa/for-sale/kapellen/2950/10638885
,Uccle,1180,1,house,house,525000,,4,160,1,,,130,2,,10639701,to renovate,https://www.immoweb.be/en/classified/house/for-sale/uccle/1180/10639701
,Waterloo,1410,1,house,villa,895000,isUnderOption,6,333,1,1,881,881,4,,10639074,as new,https://www.immoweb.be/en/classified/villa/for-sale/waterloo/1410/10639074
,Affligem,1790,,house,villa,975000,,5,380,1,,,2840,4,1,10640065,good,https://www.immoweb.be/en/classified/villa/for-sale/affligem/1790/10640065
,Lede,9340,1,house,house,515000,,4,220,1,,,350,3,,10662564,as new,https://www.immoweb.be/en/classified/house/for-sale/lede/9340/10662564
,Ixelles,1050,1,apartment,ground floor,575000,isUnderOption,3,155,1,,,,3,,10393305,as new,https://www.immoweb.be/en/classified/ground-floor/for-sale/ixelles/1050/10393305
,Knokke-Heist,8300,1,apartment,apartment,565000,,2,75,1,,,,2,,10626147,as new,https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/10626147
,Ixelles,1050,1,apartment,duplex,580000,,2,141,,,,,2,,10587329,good,https://www.immoweb.be/en/classified/duplex/for-sale/ixelles/1050/10587329
,Brussels City,1000,1,apartment,apartment,580000,,3,132,1,,,,4,,9543345,,https://www.immoweb.be/en/classified/apartment/for-sale/brussels%20city/1000/9543345
,Auderghem,1160,1,apartment,triplex,585000,,4,155,1,1,40,,3,,10438261,to be done up,https://www.immoweb.be/en/classified/triplex/for-sale/auderghem/1160/10438261
,SINT-GENESIUS-RODE,1640,1,apartment,apartment,639000,,4,282,1,1,230,,3,,10515173,good,https://www.immoweb.be/en/classified/apartment/for-sale/sint-genesius-rode/1640/10515173
,Ixelles,1050,1,apartment,duplex,655000,,3,166,,,,,,,10535903,as new,https://www.immoweb.be/en/classified/duplex/for-sale/ixelles/1050/10535903
,Ixelles,1050,1,apartment,duplex,595000,,4,151,1,,,,,,10333986,just renovated,https://www.immoweb.be/en/classified/duplex/for-sale/ixelles/1050/10333986
,Kortrijk,8500,1,apartment,loft,575000,,3,157,1,,,,3,1,10634138,as new,https://www.immoweb.be/en/classified/loft/for-sale/kortrijk/8500/10634138
,Uccle,1180,1,apartment,apartment,615000,,2,114,1,,,,3,,10472824,,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/10472824
,Brussels City,1000,1,apartment,apartment,635000,,3,108,1,,,,2,,10573836,,https://www.immoweb.be/en/classified/apartment/for-sale/brussels%20city/1000/10573836
,KNOKKE,8300,,apartment,apartment,675000,,2,63,,,,,2,,10481016,just renovated,https://www.immoweb.be/en/classified/apartment/for-sale/knokke/8300/10481016
,Knokke-Heist,8300,1,apartment,apartment,675000,,2,62,,,,,2,,10313259,just renovated,https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/10313259
,Etterbeek,1040,0,apartment,ground floor,695000,,3,220,1,,,,3,,10469823,to renovate,https://www.immoweb.be/en/classified/ground-floor/for-sale/etterbeek/1040/10469823
,Uccle,1180,1,apartment,duplex,695000,,2,160,1,1,100,,2,,10315011,as new,https://www.immoweb.be/en/classified/duplex/for-sale/uccle/1180/10315011
,Knokke-Heist,8300,1,apartment,apartment,695000,,2,85,1,,,,2,,10572766,as new,https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/10572766
,Ixelles,1050,1,apartment,duplex,699000,,3,171,1,,,,,,10535895,as new,https://www.immoweb.be/en/classified/duplex/for-sale/ixelles/1050/10535895
,Uccle,1180,,apartment,apartment,700000,,3,195,1,,,,3,,10608436,good,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/10608436
,Bruxelles,1000,,apartment,apartment,720000,,3,219,,,,,2,,10583711,to renovate,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/10583711
,Knokke-Heist,8300,1,apartment,apartment,749000,,2,90,1,,,,2,,10599713,good,https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/10599713
,Ixeles,1050,1,apartment,ground floor,745000,,2,180,1,1,37,,2,,10623556,just renovated,https://www.immoweb.be/en/classified/ground-floor/for-sale/ixeles/1050/10623556
,Uccle,1180,1,apartment,ground floor,850000,,3,170,1,1,200,,4,,10257545,good,https://www.immoweb.be/en/classified/ground-floor/for-sale/uccle/1180/10257545
,Knokke-Heist,8300,1,apartment,apartment,795000,,2,72,1,,,,2,,10369778,as new,https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/10369778
,Saint-Gilles,1060,1,apartment,ground floor,745000,,2,180,1,1,37,,2,,10591526,just renovated,https://www.immoweb.be/en/classified/ground-floor/for-sale/saint-gilles/1060/10591526
,Ronse,9600,1,house,house,180000,,3,125,1,,,150,2,,10647776,to be done up,https://www.immoweb.be/en/classified/house/for-sale/ronse/9600/10647776
